"KERNEL32.dll","runtime_dlls","fileread","fileopen"
"GetStdHandle","c:\windows\system32\riched20.dll","C:\b2ab87d5408a19b0d65d49b74c0f3d879ac55c3e57117e4117ff500394e2ad17","C:\b2ab87d5408a19b0d65d49b74c0f3d879ac55c3e57117e4117ff500394e2ad17"
"FileTimeToSystemTime","ole32.dll",NA,NA
"WaitForSingleObject","comctl32.dll",NA,NA
"FindNextFileA",NA,NA,NA
"EncodePointer",NA,NA,NA
"GetFileAttributesW",NA,NA,NA
"SystemTimeToTzSpecificLocalTime",NA,NA,NA
"DeleteCriticalSection",NA,NA,NA
"GetCurrentProcess",NA,NA,NA
"OpenFileMappingW",NA,NA,NA
"GetConsoleMode",NA,NA,NA
"FreeEnvironmentStringsW",NA,NA,NA
"InitializeSListHead",NA,NA,NA
"GetLocaleInfoW",NA,NA,NA
"SetStdHandle",NA,NA,NA
"SetFilePointerEx",NA,NA,NA
"GetCPInfo",NA,NA,NA
"WriteFile",NA,NA,NA
"GetSystemTimeAsFileTime",NA,NA,NA
"HeapReAlloc",NA,NA,NA
"GetStringTypeW",NA,NA,NA
"GetExitCodeProcess",NA,NA,NA
"InitializeCriticalSection",NA,NA,NA
"AllocConsole",NA,NA,NA
"TlsGetValue",NA,NA,NA
"MoveFileW",NA,NA,NA
"SetFileAttributesW",NA,NA,NA
"SetLastError",NA,NA,NA
"GetSystemTime",NA,NA,NA
"DeviceIoControl",NA,NA,NA
"RemoveDirectoryW",NA,NA,NA
"IsDebuggerPresent",NA,NA,NA
"ExitProcess",NA,NA,NA
"GetModuleFileNameA",NA,NA,NA
"QueryPerformanceFrequency",NA,NA,NA
"LoadLibraryExA",NA,NA,NA
"SetThreadPriority",NA,NA,NA
"FindClose",NA,NA,NA
"UnhandledExceptionFilter",NA,NA,NA
"LoadLibraryExW",NA,NA,NA
"MultiByteToWideChar",NA,NA,NA
"GetLocalTime",NA,NA,NA
"FoldStringW",NA,NA,NA
"GetFullPathNameW",NA,NA,NA
"CreateThread",NA,NA,NA
"SetEnvironmentVariableW",NA,NA,NA
"MoveFileExW",NA,NA,NA
"GetSystemDirectoryW",NA,NA,NA
"CreateSemaphoreW",NA,NA,NA
"IsProcessorFeaturePresent",NA,NA,NA
"TzSpecificLocalTimeToSystemTime",NA,NA,NA
"TerminateProcess",NA,NA,NA
"SetUnhandledExceptionFilter",NA,NA,NA
"GetModuleHandleExW",NA,NA,NA
"SetCurrentDirectoryW",NA,NA,NA
"GlobalAlloc",NA,NA,NA
"LocalFileTimeToFileTime",NA,NA,NA
"SetEndOfFile",NA,NA,NA
"GetCurrentThreadId",NA,NA,NA
"GetNumberFormatW",NA,NA,NA
"WriteConsoleW",NA,NA,NA
"InitializeCriticalSectionAndSpinCount",NA,NA,NA
"HeapFree",NA,NA,NA
"EnterCriticalSection",NA,NA,NA
"LoadLibraryW",NA,NA,NA
"GetVersionExW",NA,NA,NA
"FreeLibrary",NA,NA,NA
"QueryPerformanceCounter",NA,NA,NA
"GetTickCount",NA,NA,NA
"TlsAlloc",NA,NA,NA
"VirtualProtect",NA,NA,NA
"FlushFileBuffers",NA,NA,NA
"RtlUnwind",NA,NA,NA
"DecodePointer",NA,NA,NA
"GetDateFormatW",NA,NA,NA
"GetStartupInfoW",NA,NA,NA
"CreateDirectoryW",NA,NA,NA
"DeleteFileW",NA,NA,NA
"GetProcAddress",NA,NA,NA
"GetProcessHeap",NA,NA,NA
"CreateFileMappingW",NA,NA,NA
"GetTimeFormatW",NA,NA,NA
"GetModuleFileNameW",NA,NA,NA
"ExpandEnvironmentStringsW",NA,NA,NA
"FindFirstFileExA",NA,NA,NA
"FindNextFileW",NA,NA,NA
"ResetEvent",NA,NA,NA
"FreeConsole",NA,NA,NA
"FindFirstFileW",NA,NA,NA
"SetEvent",NA,NA,NA
"GetProcessAffinityMask",NA,NA,NA
"CreateEventW",NA,NA,NA
"CreateFileW",NA,NA,NA
"GetFileType",NA,NA,NA
"TlsSetValue",NA,NA,NA
"HeapAlloc",NA,NA,NA
"LeaveCriticalSection",NA,NA,NA
"GetLastError",NA,NA,NA
"AttachConsole",NA,NA,NA
"SystemTimeToFileTime",NA,NA,NA
"LCMapStringW",NA,NA,NA
"GetShortPathNameW",NA,NA,NA
"GetSystemInfo",NA,NA,NA
"GetConsoleCP",NA,NA,NA
"FindResourceW",NA,NA,NA
"CompareStringW",NA,NA,NA
"GetEnvironmentStringsW",NA,NA,NA
"IsDBCSLeadByte",NA,NA,NA
"VirtualQuery",NA,NA,NA
"FileTimeToLocalFileTime",NA,NA,NA
"GetCurrentDirectoryW",NA,NA,NA
"GetCurrentProcessId",NA,NA,NA
"SetFileTime",NA,NA,NA
"GetCommandLineW",NA,NA,NA
"WideCharToMultiByte",NA,NA,NA
"HeapSize",NA,NA,NA
"GetCommandLineA",NA,NA,NA
"RaiseException",NA,NA,NA
"ReleaseSemaphore",NA,NA,NA
"MapViewOfFile",NA,NA,NA
"TlsFree",NA,NA,NA
"SetFilePointer",NA,NA,NA
"ReadFile",NA,NA,NA
"CloseHandle",NA,NA,NA
"GetACP",NA,NA,NA
"GetModuleHandleW",NA,NA,NA
"SetThreadExecutionState",NA,NA,NA
"GetLongPathNameW",NA,NA,NA
"IsValidCodePage",NA,NA,NA
"UnmapViewOfFile",NA,NA,NA
"GetTempPathW",NA,NA,NA
"Sleep",NA,NA,NA
"GetOEMCP",NA,NA,NA
"CreateHardLinkW",NA,NA,NA
